,date,branch,order
37640,2023-01-23 15:10:43,Branch 4,"2S_Burger, 6S_Fries, 6S_Drink"
37641,2023-11-08 06:20:41,Branch 2,"7S_Burger, 7S_Fries, 5S_Drink"
37642,2023-08-21 13:07:19,Branch 3,"5S_Fries, 4S_Drink"
37643,2023-01-19 21:24:03,Branch 4,"5S_Burger, 5S_Fries, 4S_Drink"
37644,2023-08-15 03:11:50,Branch 10,"2S_Burger, 7S_Fries, 1S_Drink"
37645,2023-11-09 05:50:54,Branch 2,"3S_Burger, 5S_Fries, 3S_Drink"
37646,2023-04-07 12:14:24,Branch 1,"4S_Burger, 4S_Fries, 2S_Drink"
37647,2023-02-03 05:34:42,Branch 2,"6S_Burger, 7S_Fries, 4S_Drink"
37648,2023-09-02 00:09:06,Branch 8,"5S_Burger, 4S_Fries, 2S_Drink"
37649,2023-09-01 10:06:06,Branch 3,"5S_Burger, 4S_Fries, 4S_Drink"
37650,2023-01-29 02:30:12,Branch 4,"5S_Burger, 2S_Fries, 6S_Drink"
37651,2023-02-20 14:10:04,Branch 9,"1S_Burger, 6S_Fries, 6S_Drink"
37652,2023-09-02 05:37:23,Branch 6,"3S_Burger, 5S_Fries, 3S_Drink"
37653,2023-03-21 21:48:08,Branch 6,"4S_Burger, 5S_Fries, 3S_Drink"
37654,2023-07-09 20:10:49,Branch 4,"5S_Fries, 2S_Drink"
37655,2023-04-17 03:55:16,Branch 10,"4S_Fries, 1S_Drink"
37656,2023-03-29 21:32:32,Branch 9,"2S_Fries, 3S_Drink"
37657,2023-09-07 23:40:29,Branch 7,"2S_Burger, 7S_Fries, 5S_Drink"
37658,2023-07-08 12:44:22,Branch 5,"4S_Fries, 1S_Drink"
37659,2023-11-17 00:57:01,Branch 4,"6S_Burger, 4S_Fries, 7S_Drink"
37660,2023-02-05 21:59:20,Branch 8,"3S_Burger, 2S_Fries, 6S_Drink"
37661,2023-04-13 16:04:09,Branch 1,"7S_Burger, 7S_Fries"
37662,2023-06-02 01:14:03,Branch 9,"1S_Burger, 6S_Fries, 6S_Drink"
37663,2023-03-25 13:11:24,Branch 1,6S_Burger
37664,2023-05-25 07:02:56,Branch 6,"5S_Burger, 7S_Fries, 5S_Drink"
37665,2023-04-18 12:35:58,Branch 3,"2S_Burger, 6S_Fries, 6S_Drink"
37666,2023-04-07 21:19:04,Branch 4,"6S_Burger, 4S_Fries"
37667,2023-05-05 22:14:05,Branch 5,"7S_Burger, 2S_Fries, 3S_Drink"
37668,2023-07-23 22:55:40,Branch 8,"5S_Burger, 4S_Fries, 5S_Drink"
37669,2023-10-21 16:10:55,Branch 10,"1S_Burger, 3S_Fries, 6S_Drink"
37670,2023-01-22 05:53:03,Branch 4,"2S_Burger, 4S_Fries"
37671,2023-06-18 12:12:20,Branch 10,"6S_Burger, 3S_Fries, 2S_Drink"
37672,2023-12-14 00:23:21,Branch 2,"4S_Burger, 6S_Fries"
37673,2023-10-23 00:32:58,Branch 3,"7S_Burger, 4S_Fries, 3S_Drink"
37674,2023-10-19 18:38:25,Branch 10,"3S_Burger, 3S_Fries, 4S_Drink"
37675,2023-01-23 02:38:32,Branch 3,"5S_Burger, 2S_Fries, 2S_Drink"
37676,2023-09-24 10:12:52,Branch 4,"6S_Burger, 5S_Drink"
37677,2023-05-25 23:51:19,Branch 8,"7S_Burger, 3S_Fries, 1S_Drink"
37678,2023-03-06 09:22:07,Branch 7,"5S_Burger, 6S_Fries, 6S_Drink"
37679,2023-11-25 08:43:54,Branch 8,"2S_Burger, 1S_Fries, 1S_Drink"
37680,2023-07-03 03:21:21,Branch 10,"4S_Fries, 5S_Drink"
37681,2023-12-14 21:19:06,Branch 10,"6S_Burger, 3S_Fries, 2S_Drink"
37682,2023-03-16 06:35:49,Branch 10,"5S_Burger, 1S_Fries, 7S_Drink"
37683,2023-10-19 22:59:33,Branch 2,"4S_Burger, 7S_Fries, 3S_Drink"
37684,2023-05-23 22:39:19,Branch 8,"5S_Burger, 5S_Fries, 5S_Drink"
37685,2023-09-26 22:13:33,Branch 3,"7S_Burger, 2S_Fries, 4S_Drink"
37686,2023-11-02 12:57:12,Branch 3,"5S_Burger, 3S_Fries, 4S_Drink"
37687,2023-12-09 00:46:32,Branch 3,"2S_Burger, 1S_Fries, 3S_Drink"
37688,2023-01-29 12:48:50,Branch 1,"5S_Fries, 6S_Drink"
37689,2023-04-26 11:39:03,Branch 3,"2S_Burger, 6S_Fries, 1S_Drink"
37690,2023-07-03 23:10:01,Branch 6,"4S_Burger, 4S_Fries, 1S_Drink"
37691,2023-07-15 09:59:13,Branch 7,"7S_Burger, 4S_Fries"
37692,2023-04-22 16:19:25,Branch 6,"2S_Burger, 6S_Fries, 4S_Drink"
37693,2023-12-27 09:43:04,Branch 6,"6S_Burger, 3S_Drink"
37694,2023-08-06 11:58:58,Branch 4,3S_Drink
37695,2023-07-11 16:07:07,Branch 2,"4S_Burger, 2S_Fries, 6S_Drink"
37696,2023-06-21 12:53:19,Branch 1,"4S_Burger, 7S_Fries, 3S_Drink"
37697,2023-08-18 17:32:02,Branch 1,"2S_Burger, 2S_Fries, 4S_Drink"
37698,2023-10-28 16:43:44,Branch 10,"7S_Burger, 4S_Drink"
37699,2023-01-29 12:48:42,Branch 8,"5S_Burger, 1S_Fries, 6S_Drink"
37700,2023-11-20 14:10:41,Branch 8,"2S_Burger, 5S_Fries, 3S_Drink"
37701,2023-12-23 18:37:13,Branch 10,"5S_Burger, 7S_Fries, 1S_Drink"
37702,2023-07-15 12:02:02,Branch 5,"5S_Fries, 7S_Drink"
37703,2023-04-08 21:08:26,Branch 8,"7S_Burger, 6S_Fries, 2S_Drink"
37704,2023-11-26 09:44:50,Branch 10,"3S_Burger, 1S_Fries, 3S_Drink"
37705,2023-05-21 21:27:57,Branch 7,"4S_Burger, 1S_Fries, 4S_Drink"
37706,2023-08-23 23:05:11,Branch 5,"5S_Burger, 5S_Fries, 6S_Drink"
37707,2023-08-04 20:11:17,Branch 1,"1S_Burger, 4S_Fries"
37708,2023-10-30 13:01:19,Branch 2,"3S_Burger, 6S_Fries, 2S_Drink"
37709,2023-03-24 15:47:11,Branch 9,"2S_Fries, 5S_Drink"
37710,2023-11-01 16:27:51,Branch 1,"4S_Burger, 6S_Fries, 7S_Drink"
37711,2023-09-27 02:14:06,Branch 2,"2S_Burger, 3S_Fries, 2S_Drink"
37712,2023-11-14 04:14:53,Branch 3,"7S_Burger, 6S_Fries, 4S_Drink"
37713,2023-08-25 08:40:23,Branch 6,"5S_Fries, 4S_Drink"
37714,2023-11-06 16:42:52,Branch 1,"4S_Fries, 5S_Drink"
37715,2023-04-20 22:52:40,Branch 6,"2S_Burger, 6S_Drink"
37716,2023-05-13 23:38:42,Branch 3,"6S_Burger, 2S_Fries, 4S_Drink"
37717,2023-09-25 06:35:37,Branch 5,"3S_Fries, 4S_Drink"
37718,2023-10-08 07:24:20,Branch 1,"6S_Burger, 3S_Fries, 1S_Drink"
37719,2023-07-31 10:23:37,Branch 9,"7S_Burger, 3S_Fries, 4S_Drink"
37720,2023-06-06 00:54:51,Branch 9,"6S_Burger, 1S_Fries"
37721,2023-02-28 02:09:53,Branch 3,"6S_Burger, 3S_Fries, 7S_Drink"
37722,2023-01-12 08:16:13,Branch 7,"3S_Burger, 5S_Fries, 1S_Drink"
37723,2023-11-16 07:38:09,Branch 8,"3S_Burger, 2S_Fries, 6S_Drink"
37724,2023-08-06 20:33:22,Branch 8,"3S_Burger, 6S_Fries, 5S_Drink"
37725,2023-06-20 11:37:44,Branch 2,"3S_Burger, 3S_Drink"
37726,2023-04-05 20:44:54,Branch 10,"7S_Burger, 2S_Fries, 7S_Drink"
37727,2023-05-08 05:41:21,Branch 6,"7S_Burger, 7S_Fries, 3S_Drink"
37728,2023-05-07 22:55:31,Branch 2,"6S_Burger, 7S_Fries, 6S_Drink"
37729,2023-11-21 06:37:40,Branch 2,"3S_Burger, 2S_Fries, 1S_Drink"
37730,2023-10-28 16:14:48,Branch 3,"6S_Burger, 2S_Fries, 1S_Drink"
37731,2023-02-16 04:16:37,Branch 10,"6S_Burger, 6S_Fries"
37732,2023-08-10 14:05:22,Branch 9,"3S_Burger, 2S_Fries"
37733,2023-06-18 07:44:28,Branch 7,"3S_Burger, 7S_Fries, 4S_Drink"
37734,2023-04-13 21:13:40,Branch 7,"3S_Burger, 7S_Fries, 5S_Drink"
37735,2023-08-21 17:09:03,Branch 3,"3S_Burger, 2S_Fries, 4S_Drink"
37736,2023-08-27 16:02:53,Branch 2,"6S_Burger, 4S_Fries, 7S_Drink"
37737,2023-08-30 01:19:39,Branch 6,"7S_Burger, 1S_Fries"
37738,2023-09-15 06:46:36,Branch 5,"6S_Fries, 2S_Drink"
37739,2023-07-30 12:24:53,Branch 4,"7S_Burger, 7S_Fries"
37740,2023-09-26 02:02:50,Branch 3,"1S_Burger, 5S_Fries, 7S_Drink"
37741,2023-12-29 14:58:36,Branch 2,"6S_Burger, 2S_Fries, 2S_Drink"
37742,2023-05-06 23:05:18,Branch 9,"6S_Burger, 6S_Fries, 3S_Drink"
37743,2023-12-29 20:46:59,Branch 9,"7S_Burger, 1S_Fries, 3S_Drink"
37744,2023-04-04 23:51:22,Branch 5,"5S_Burger, 3S_Fries, 5S_Drink"
37745,2023-05-31 08:41:53,Branch 6,"6S_Burger, 3S_Fries, 1S_Drink"
37746,2023-09-22 17:29:04,Branch 10,"3S_Burger, 2S_Fries, 5S_Drink"
37747,2023-05-26 01:58:03,Branch 6,"1S_Burger, 7S_Fries, 7S_Drink"
37748,2023-02-11 03:30:20,Branch 4,"7S_Burger, 6S_Drink"
37749,2023-11-30 16:01:21,Branch 2,"5S_Fries, 6S_Drink"
37750,2023-09-27 05:54:37,Branch 2,"3S_Burger, 1S_Fries"
37751,2023-10-02 08:35:41,Branch 5,"5S_Burger, 5S_Fries, 7S_Drink"
37752,2023-04-13 02:21:34,Branch 9,"3S_Burger, 4S_Fries, 1S_Drink"
37753,2023-08-11 23:53:49,Branch 4,"5S_Burger, 5S_Fries, 5S_Drink"
37754,2023-12-29 12:31:31,Branch 2,"4S_Burger, 5S_Fries, 1S_Drink"
37755,2023-03-30 13:37:01,Branch 1,"7S_Burger, 5S_Fries, 2S_Drink"
37756,2023-04-07 09:33:25,Branch 3,"1S_Burger, 3S_Fries"
37757,2023-06-07 18:13:21,Branch 6,"3S_Burger, 3S_Fries, 6S_Drink"
37758,2023-11-22 04:18:45,Branch 4,"4S_Burger, 2S_Fries"
37759,2023-05-14 05:07:31,Branch 3,"3S_Burger, 6S_Fries, 1S_Drink"
37760,2023-05-27 16:32:15,Branch 9,"1S_Burger, 2S_Fries, 4S_Drink"
37761,2023-03-11 17:33:52,Branch 8,"3S_Burger, 7S_Fries"
37762,2023-11-17 02:30:42,Branch 5,"7S_Fries, 4S_Drink"
37763,2023-03-16 09:19:22,Branch 7,"1S_Burger, 6S_Fries, 5S_Drink"
37764,2023-08-11 19:06:49,Branch 9,"4S_Burger, 3S_Fries, 4S_Drink"
37765,2023-05-01 10:49:51,Branch 6,"2S_Burger, 6S_Fries"
37766,2023-09-10 00:47:54,Branch 7,"2S_Fries, 1S_Drink"
37767,2023-04-10 16:25:23,Branch 6,"2S_Burger, 5S_Fries"
37768,2023-01-06 05:29:08,Branch 8,"1S_Burger, 3S_Drink"
37769,2023-04-05 10:29:31,Branch 9,"6S_Burger, 6S_Drink"
37770,2023-09-27 00:43:57,Branch 5,"7S_Burger, 6S_Fries, 2S_Drink"
37771,2023-10-27 22:42:41,Branch 5,"4S_Burger, 7S_Fries, 3S_Drink"
37772,2023-12-30 10:35:55,Branch 7,"4S_Burger, 1S_Fries"
37773,2023-10-20 20:23:24,Branch 5,"4S_Burger, 5S_Fries, 5S_Drink"
37774,2023-07-16 06:24:09,Branch 10,"1S_Burger, 7S_Fries, 1S_Drink"
37775,2023-12-26 05:51:06,Branch 7,"6S_Burger, 7S_Fries, 3S_Drink"
37776,2023-08-24 20:11:43,Branch 3,"4S_Burger, 2S_Fries, 7S_Drink"
37777,2023-07-17 04:31:33,Branch 8,"2S_Burger, 5S_Drink"
37778,2023-05-07 03:15:23,Branch 3,"3S_Burger, 2S_Drink"
37779,2023-10-02 06:04:10,Branch 2,"3S_Burger, 6S_Fries, 5S_Drink"
37780,2023-04-15 18:32:49,Branch 7,"4S_Burger, 1S_Fries, 3S_Drink"
37781,2023-08-19 01:45:40,Branch 7,"5S_Burger, 6S_Fries, 7S_Drink"
37782,2023-12-21 17:59:08,Branch 10,"6S_Burger, 1S_Fries, 3S_Drink"
37783,2023-09-01 02:01:56,Branch 8,"1S_Burger, 5S_Fries, 3S_Drink"
37784,2023-06-11 23:52:31,Branch 1,"4S_Burger, 4S_Drink"
37785,2023-03-01 17:37:49,Branch 3,"6S_Burger, 7S_Fries, 7S_Drink"
37786,2023-08-14 04:27:05,Branch 5,"6S_Burger, 6S_Fries, 2S_Drink"
37787,2023-11-06 00:35:04,Branch 3,"5S_Burger, 1S_Fries, 6S_Drink"
37788,2023-09-16 06:24:44,Branch 2,"2S_Burger, 5S_Fries, 1S_Drink"
37789,2023-11-11 08:29:43,Branch 1,"4S_Burger, 4S_Fries, 6S_Drink"
37790,2023-03-05 19:47:33,Branch 3,"4S_Burger, 2S_Drink"
37791,2023-09-01 22:49:48,Branch 7,"6S_Burger, 2S_Fries"
37792,2023-05-06 14:05:21,Branch 1,"5S_Burger, 7S_Fries, 4S_Drink"
37793,2023-07-18 07:50:34,Branch 7,"6S_Burger, 6S_Fries, 7S_Drink"
37794,2023-01-22 07:54:14,Branch 8,"1S_Burger, 4S_Fries, 3S_Drink"
37795,2023-04-26 16:16:50,Branch 8,"5S_Burger, 7S_Fries, 1S_Drink"
37796,2023-05-19 08:01:03,Branch 1,"4S_Burger, 7S_Fries, 3S_Drink"
37797,2023-12-20 07:07:29,Branch 3,"3S_Burger, 4S_Fries, 7S_Drink"
37798,2023-07-29 22:34:12,Branch 3,"4S_Burger, 6S_Fries"
37799,2023-03-18 19:04:16,Branch 10,"3S_Burger, 3S_Fries, 2S_Drink"
37800,2023-05-12 11:33:02,Branch 10,"6S_Burger, 4S_Fries"
37801,2023-06-22 07:33:58,Branch 10,"2S_Fries, 3S_Drink"
37802,2023-09-19 17:55:45,Branch 3,"1S_Burger, 6S_Fries, 5S_Drink"
37803,2023-06-09 13:55:52,Branch 1,"5S_Burger, 6S_Fries, 6S_Drink"
37804,2023-03-26 18:07:34,Branch 8,"4S_Burger, 5S_Fries, 3S_Drink"
37805,2023-01-17 00:36:55,Branch 6,"6S_Burger, 2S_Fries, 6S_Drink"
37806,2023-10-12 17:14:27,Branch 1,"2S_Burger, 1S_Fries, 3S_Drink"
37807,2023-03-15 10:03:59,Branch 8,"2S_Burger, 2S_Fries, 3S_Drink"
37808,2023-02-23 11:34:48,Branch 5,"6S_Burger, 1S_Fries, 5S_Drink"
37809,2023-08-26 19:57:11,Branch 3,"3S_Burger, 3S_Fries, 6S_Drink"
37810,2023-12-08 02:54:36,Branch 3,"1S_Fries, 7S_Drink"
37811,2023-09-10 21:31:44,Branch 6,"2S_Burger, 5S_Drink"
37812,2023-07-09 09:53:35,Branch 3,"2S_Burger, 2S_Fries, 4S_Drink"
37813,2023-04-10 11:40:52,Branch 3,"4S_Burger, 5S_Fries, 7S_Drink"
37814,2023-09-07 01:02:38,Branch 8,"4S_Burger, 3S_Fries, 6S_Drink"
37815,2023-05-23 12:51:36,Branch 1,"5S_Burger, 5S_Fries, 6S_Drink"
37816,2023-02-17 12:17:59,Branch 4,"4S_Burger, 2S_Fries, 7S_Drink"
37817,2023-06-01 05:57:27,Branch 1,"2S_Burger, 6S_Fries, 1S_Drink"
37818,2023-03-11 21:21:21,Branch 4,"5S_Burger, 1S_Drink"
37819,2023-12-08 08:32:41,Branch 3,"4S_Burger, 5S_Fries, 2S_Drink"
37820,2023-06-17 18:23:16,Branch 7,"6S_Burger, 5S_Fries, 5S_Drink"
37821,2023-08-06 13:46:46,Branch 3,"1S_Burger, 1S_Fries, 5S_Drink"
37822,2023-08-11 01:37:39,Branch 1,"4S_Burger, 7S_Fries, 7S_Drink"
37823,2023-11-01 01:41:37,Branch 9,"5S_Burger, 2S_Drink"
37824,2023-03-15 06:46:53,Branch 9,"3S_Burger, 1S_Drink"
37825,2023-05-11 21:28:38,Branch 2,"5S_Burger, 1S_Fries, 3S_Drink"
37826,2023-06-30 16:40:39,Branch 5,"6S_Burger, 5S_Fries, 4S_Drink"
37827,2023-05-08 00:17:59,Branch 4,"6S_Burger, 5S_Drink"
37828,2023-03-14 22:26:43,Branch 6,"5S_Burger, 6S_Fries, 5S_Drink"
37829,2023-05-17 23:33:30,Branch 6,"1S_Burger, 6S_Fries, 2S_Drink"
37830,2023-12-10 20:55:28,Branch 6,4S_Burger
37831,2023-12-29 00:48:05,Branch 9,"5S_Burger, 4S_Fries, 7S_Drink"
37832,2023-10-03 12:34:35,Branch 8,"3S_Burger, 1S_Fries"
37833,2023-04-30 10:17:32,Branch 7,"6S_Burger, 1S_Fries, 3S_Drink"
37834,2023-12-15 16:47:44,Branch 9,"5S_Burger, 7S_Fries, 4S_Drink"
37835,2023-02-23 06:06:05,Branch 8,"7S_Fries, 5S_Drink"
37836,2023-08-13 18:21:09,Branch 8,"2S_Fries, 6S_Drink"
37837,2023-08-05 11:05:57,Branch 2,"7S_Burger, 3S_Fries, 4S_Drink"
37838,2023-04-10 07:06:49,Branch 6,"1S_Burger, 7S_Fries, 1S_Drink"
37839,2023-01-22 20:06:29,Branch 8,"1S_Burger, 6S_Fries, 4S_Drink"
37840,2023-06-01 05:48:02,Branch 4,"5S_Burger, 6S_Fries, 7S_Drink"
37841,2023-10-07 20:58:25,Branch 4,"6S_Burger, 4S_Fries, 1S_Drink"
37842,2023-10-13 22:30:31,Branch 8,"2S_Burger, 1S_Fries"
37843,2023-03-28 03:24:04,Branch 2,"5S_Burger, 2S_Fries, 4S_Drink"
37844,2023-11-02 18:21:30,Branch 6,"5S_Fries, 3S_Drink"
37845,2023-03-30 22:55:56,Branch 1,"6S_Burger, 7S_Fries, 4S_Drink"
37846,2023-07-10 12:18:19,Branch 2,"4S_Fries, 7S_Drink"
37847,2023-02-11 10:22:10,Branch 7,"2S_Burger, 1S_Fries, 6S_Drink"
37848,2023-05-01 06:29:27,Branch 5,"4S_Burger, 4S_Fries, 6S_Drink"
37849,2023-04-22 10:39:12,Branch 1,"3S_Burger, 4S_Fries"
37850,2023-10-23 11:56:09,Branch 5,"5S_Burger, 7S_Fries, 1S_Drink"
37851,2023-05-26 01:03:01,Branch 3,"7S_Burger, 3S_Fries, 7S_Drink"
37852,2023-10-31 22:14:45,Branch 8,"1S_Burger, 3S_Fries, 7S_Drink"
37853,2023-12-23 08:26:25,Branch 1,"6S_Burger, 4S_Fries, 1S_Drink"
37854,2023-12-13 08:45:41,Branch 8,"6S_Burger, 1S_Fries, 4S_Drink"
37855,2023-02-11 23:46:21,Branch 7,"4S_Burger, 6S_Fries, 1S_Drink"
37856,2023-12-04 15:19:05,Branch 7,"7S_Burger, 4S_Fries, 5S_Drink"
37857,2023-02-05 23:56:25,Branch 9,"6S_Burger, 3S_Fries, 1S_Drink"
37858,2023-06-19 18:18:05,Branch 1,"7S_Burger, 6S_Fries"
37859,2023-06-06 03:06:54,Branch 6,"7S_Burger, 1S_Fries, 2S_Drink"
37860,2023-05-26 11:20:22,Branch 7,"4S_Burger, 1S_Fries, 5S_Drink"
37861,2023-10-23 23:27:56,Branch 6,"1S_Burger, 6S_Fries, 1S_Drink"
37862,2023-03-15 05:30:23,Branch 1,"6S_Burger, 4S_Fries, 4S_Drink"
37863,2023-11-12 08:29:14,Branch 5,"7S_Burger, 2S_Drink"
37864,2023-07-05 21:32:10,Branch 5,"2S_Burger, 4S_Fries, 3S_Drink"
37865,2023-05-18 15:52:10,Branch 6,"6S_Fries, 3S_Drink"
37866,2023-03-13 05:47:06,Branch 8,"3S_Burger, 3S_Fries, 4S_Drink"
37867,2023-08-06 11:22:16,Branch 3,"4S_Burger, 7S_Fries, 3S_Drink"
37868,2023-01-03 21:34:43,Branch 1,"2S_Burger, 4S_Fries, 2S_Drink"
37869,2023-12-07 05:43:35,Branch 2,"3S_Fries, 7S_Drink"
37870,2023-02-09 20:45:44,Branch 4,7S_Burger
37871,2023-12-28 01:37:42,Branch 6,"6S_Burger, 6S_Fries, 5S_Drink"
37872,2023-04-13 14:13:48,Branch 6,"6S_Burger, 5S_Fries, 6S_Drink"
37873,2023-04-04 19:49:54,Branch 1,"1S_Burger, 5S_Fries, 7S_Drink"
37874,2023-10-04 22:48:41,Branch 8,"5S_Burger, 5S_Fries, 4S_Drink"
37875,2023-10-14 11:57:17,Branch 9,"5S_Burger, 4S_Fries, 4S_Drink"
37876,2023-12-14 21:31:56,Branch 4,"6S_Burger, 3S_Drink"
37877,2023-06-04 12:04:34,Branch 4,"1S_Burger, 7S_Fries, 2S_Drink"
37878,2023-08-31 20:54:52,Branch 2,"7S_Burger, 1S_Fries, 5S_Drink"
37879,2023-11-11 10:56:57,Branch 2,"2S_Burger, 4S_Fries, 5S_Drink"
37880,2023-03-30 02:42:52,Branch 6,"7S_Burger, 7S_Drink"
37881,2023-02-15 22:46:00,Branch 4,"4S_Burger, 2S_Fries, 1S_Drink"
37882,2023-06-16 20:17:59,Branch 8,"3S_Burger, 4S_Fries, 7S_Drink"
37883,2023-01-22 20:28:49,Branch 10,"6S_Fries, 5S_Drink"
37884,2023-06-21 23:54:26,Branch 6,5S_Burger
37885,2023-10-26 07:07:27,Branch 9,"6S_Burger, 3S_Fries, 4S_Drink"
37886,2023-05-01 13:45:13,Branch 4,7S_Burger
37887,2023-12-06 08:22:39,Branch 3,"4S_Burger, 5S_Fries, 1S_Drink"
37888,2023-06-03 12:01:35,Branch 9,"5S_Burger, 3S_Fries, 3S_Drink"
37889,2023-04-23 02:02:24,Branch 2,"3S_Burger, 2S_Fries, 2S_Drink"
37890,2023-10-04 13:47:05,Branch 8,"6S_Burger, 3S_Fries, 3S_Drink"
37891,2023-06-10 06:48:40,Branch 7,"2S_Burger, 3S_Fries, 3S_Drink"
37892,2023-12-30 23:06:23,Branch 9,"6S_Burger, 6S_Fries, 3S_Drink"
37893,2023-01-30 09:22:52,Branch 3,"5S_Fries, 4S_Drink"
37894,2023-07-20 11:26:46,Branch 1,"5S_Burger, 1S_Fries, 2S_Drink"
37895,2023-12-16 03:37:36,Branch 4,"5S_Fries, 4S_Drink"
37896,2023-12-10 21:51:16,Branch 7,"1S_Burger, 2S_Fries, 1S_Drink"
37897,2023-12-15 08:17:48,Branch 3,"1S_Burger, 6S_Fries, 7S_Drink"
37898,2023-01-04 10:48:00,Branch 6,"7S_Fries, 1S_Drink"
37899,2023-06-08 07:18:34,Branch 9,"7S_Burger, 1S_Fries, 7S_Drink"
37900,2023-11-30 00:48:08,Branch 2,"7S_Burger, 7S_Fries, 2S_Drink"
37901,2023-12-03 22:33:51,Branch 3,"5S_Burger, 4S_Fries, 1S_Drink"
37902,2023-03-28 22:25:58,Branch 10,"6S_Burger, 4S_Drink"
37903,2023-09-28 00:37:50,Branch 7,"5S_Burger, 5S_Drink"
37904,2023-03-21 15:06:41,Branch 8,"3S_Burger, 6S_Fries, 5S_Drink"
37905,2023-10-19 08:01:16,Branch 9,6S_Drink
37906,2023-12-25 08:18:53,Branch 7,"5S_Burger, 4S_Fries, 3S_Drink"
37907,2023-09-21 17:32:39,Branch 5,"7S_Burger, 4S_Drink"
37908,2023-06-04 17:57:02,Branch 3,"6S_Burger, 3S_Fries, 4S_Drink"
37909,2023-11-10 05:18:47,Branch 10,"3S_Burger, 3S_Fries, 1S_Drink"
37910,2023-07-12 11:15:35,Branch 1,"3S_Burger, 4S_Fries, 2S_Drink"
37911,2023-02-06 16:36:47,Branch 10,"7S_Burger, 3S_Fries, 4S_Drink"
37912,2023-12-02 16:57:08,Branch 6,"4S_Burger, 7S_Fries, 3S_Drink"
37913,2023-02-04 07:55:06,Branch 4,"4S_Burger, 5S_Fries, 6S_Drink"
37914,2023-10-20 09:07:10,Branch 7,"6S_Burger, 3S_Fries, 3S_Drink"
37915,2023-12-28 10:57:21,Branch 7,"2S_Burger, 4S_Fries, 1S_Drink"
37916,2023-01-18 01:34:24,Branch 3,"4S_Fries, 4S_Drink"
37917,2023-04-15 03:39:49,Branch 6,"5S_Burger, 4S_Fries, 4S_Drink"
37918,2023-07-03 19:34:17,Branch 7,"4S_Fries, 2S_Drink"
37919,2023-10-15 09:20:11,Branch 8,"5S_Burger, 2S_Fries, 2S_Drink"
37920,2023-11-08 04:46:11,Branch 5,"6S_Burger, 3S_Fries, 2S_Drink"
37921,2023-07-21 18:54:07,Branch 7,"7S_Burger, 1S_Fries, 3S_Drink"
37922,2023-07-13 22:13:24,Branch 8,"1S_Burger, 1S_Fries, 5S_Drink"
37923,2023-08-08 04:44:07,Branch 10,"2S_Burger, 3S_Fries, 5S_Drink"
37924,2023-08-25 17:21:21,Branch 6,"6S_Burger, 1S_Fries, 6S_Drink"
37925,2023-11-27 01:33:29,Branch 8,"7S_Burger, 7S_Fries, 7S_Drink"
37926,2023-01-11 15:41:37,Branch 3,"6S_Burger, 4S_Fries, 3S_Drink"
37927,2023-06-05 14:58:42,Branch 7,"2S_Burger, 6S_Fries, 2S_Drink"
37928,2023-06-02 10:02:23,Branch 9,"3S_Burger, 2S_Fries, 2S_Drink"
37929,2023-11-28 23:05:34,Branch 5,"4S_Fries, 6S_Drink"
37930,2023-11-19 04:01:01,Branch 9,"3S_Burger, 6S_Drink"
37931,2023-10-23 00:47:29,Branch 5,"2S_Burger, 6S_Fries, 1S_Drink"
37932,2023-07-02 11:36:14,Branch 5,"4S_Burger, 3S_Fries, 5S_Drink"
37933,2023-04-23 13:24:06,Branch 3,"4S_Burger, 5S_Fries, 5S_Drink"
37934,2023-10-28 23:09:25,Branch 1,"3S_Burger, 2S_Fries, 7S_Drink"
37935,2023-10-25 05:59:28,Branch 8,"1S_Burger, 7S_Fries, 2S_Drink"
37936,2023-11-17 07:53:37,Branch 7,"5S_Burger, 1S_Fries, 3S_Drink"
37937,2023-08-13 15:27:34,Branch 2,"1S_Burger, 5S_Fries, 7S_Drink"
37938,2023-01-26 09:20:08,Branch 3,"6S_Burger, 1S_Fries, 4S_Drink"
37939,2023-08-14 06:04:36,Branch 6,"5S_Burger, 2S_Fries, 7S_Drink"
37940,2023-08-09 22:52:16,Branch 3,"3S_Burger, 3S_Fries, 2S_Drink"
37941,2023-10-19 13:49:52,Branch 2,"5S_Burger, 6S_Fries, 1S_Drink"
37942,2023-08-20 03:58:15,Branch 5,"2S_Burger, 4S_Fries, 5S_Drink"
37943,2023-10-19 07:30:19,Branch 10,"2S_Burger, 3S_Fries, 3S_Drink"
37944,2023-09-23 07:24:40,Branch 10,"1S_Burger, 4S_Drink"
37945,2023-05-15 01:08:13,Branch 2,"4S_Burger, 3S_Fries"
37946,2023-07-16 11:35:17,Branch 4,"4S_Burger, 1S_Fries, 5S_Drink"
37947,2023-07-22 03:33:59,Branch 10,"3S_Fries, 5S_Drink"
37948,2023-07-10 23:26:37,Branch 1,"3S_Burger, 7S_Fries, 3S_Drink"
37949,2023-12-25 00:23:56,Branch 1,"5S_Burger, 2S_Fries, 6S_Drink"
37950,2023-04-26 16:02:11,Branch 1,"4S_Burger, 4S_Fries, 7S_Drink"
37951,2023-03-14 08:55:45,Branch 10,"2S_Burger, 3S_Fries, 5S_Drink"
37952,2023-01-29 04:43:49,Branch 3,"6S_Burger, 3S_Fries"
37953,2023-06-30 21:34:59,Branch 7,"5S_Burger, 6S_Fries, 6S_Drink"
